unknown	Bacteroides_uniformis	[Ruminococcus]_obeum	Haemophilus_parainfluenzae	Eubacterium_rectale	Bacteroides_finegoldii	Ruminococcus_bromii	Pseudoflavonifractor_capillosus	Bacteroides_coprophilus	unclassified_Fusobacterium	Fusobacterium_periodonticum	Streptococcus_sanguinis	Enterococcus_faecalis	[Clostridium]_bartlettii	Dorea_formicigenerans	Faecalibacterium_prausnitzii	Klebsiella_variicola/pneumoniae	Clostridium_bolteae	Eggerthella_lenta	Streptococcus_anginosus	Streptococcus_sp._C150	Acidaminococcus_fermentans	Streptococcus_salivarius	Actinomyces_odontolyticus	Methanobrevibacter_smithii	Mitsuokella_multacida	Bacteroides_caccae	Desulfovibrio_piger	Streptococcus_gordonii	butyrate-producing_bacterium	[Ruminococcus]_torques	Citrobacter_sp._30_2	Prevotella_copri	Alistipes_sp._HGB5	Butyrivibrio_crossotus	Clostridium_leptum	Capnocytophaga_sp._oral_taxon_329	Escherichia_coli	Dialister_invisus	Rothia_mucilaginosa	Odoribacter_splanchnicus	Bifidobacterium_dentium	Holdemania_filiformis	Collinsella_aerofaciens	Coprococcus_catus	Alistipes_shahii	Streptococcus_parasanguinis	Bacteroides_fragilis	Bacteroides_coprocola	Megasphaera_micronuciformis	Eubacterium_biforme	[Ruminococcus]_gnavus	Streptococcus_thermophilus	Streptococcus_pneumoniae	Dorea_longicatena	Bifidobacterium_longum	Veillonella_atypica	Haemophilus_influenzae	Bacteroides_thetaiotaomicron	Klebsiella_oxytoca	Roseburia_hominis	Bacteroides_dorei/vulgatus	Streptococcus_oralis	Ruminococcus_lactaris	Megasphaera_elsdenii	Bacteroides_ovatus	Veillonella_parvula	Bilophila_wadsworthia	Ruminococcus_sp._SR1/5	Parabacteroides_distasonis	[Bacteroides]_pectinophilus	Eubacterium_ventriosum	Granulicatella_adiacens	Coprococcus_comes	Akkermansia_muciniphila	Enterococcus_casseliflavus	Bacteroides_eggerthii	Bacteroides_xylanisolvens	Streptococcus_vestibularis	Haemophilus_pittmaniae	Bacteroides_plebeius	Veillonella_sp._oral_taxon_158	Enterobacter_hormaechei/cloacae	Phascolarctobacterium_succinatutens	Bacteroides_stercoris	Eubacterium_eligens	Coprococcus_eutactus	Gemella_sanguinis	Eubacterium_siraeum	Veillonella_dispar	Bacteroides_clarus	Streptococcus_infantis	Roseburia_intestinalis	Parasutterella_excrementihominis	Anaerotruncus_colihominis	butyrate-producing_bacterium_SS3/4	Ruminococcaceae_bacterium_D16	Parabacteroides_merdae	Eubacterium_hallii	Streptococcus_australis	Bifidobacterium_adolescentis	Alistipes_putredinis	Clostridium_perfringens	Sutterella_wadsworthensis	Roseburia_inulinivorans	Ruminococcus_sp._5_1_39BFAA
9437	0.814712828	6.1e-05	0.000224627	5.23e-05	0.005848307	0.000104621	0.003696604	5.23e-05	0	0	0	0	0	9.59e-05	0.000298169	0.003027299	0	0	0	0	0	0	7.85e-05	0	0.00164124	0	0.003237435	0.001417613	0	0.000174368	0.001789017	0	0.05980652	0.000104621	0	5.98e-05	0.000758501	6.97e-05	0	0	0.000340018	0	5.23e-05	0.000931126	0.000308632	0.001348447	0	0	0.002934615	0	0.000505668	0	0	0	0.003389716	0.001564082	5.23e-05	0	0.001067133	0	0.000397559	0.00174804	0	0	5.23e-05	0.001008844	6.97e-05	0.001459461	0.000773032	0.000779425	0	0.000133682	0	0.001313573	0	0	0.000130776	0.000719268	0	0	0.000616101	5.23e-05	0	0.049288054	0	0.001893638	0	0	0.000355711	5.23e-05	5.23e-05	0	0.000156931	5.23e-05	0	0.000137315	0	0.00180471	0.000249928	0	0.000632956	0.024020952	0	0.000235397	0.001563501	0.000444639
9438	0.502100809	0.002594074	0.000856575	0.006727125	0.008757064	0.000178997	0	0	0	0	0	0	0.000553513	0	0.000380024	0.007604707	0.006203546	0	0	0	0.000247841	0	0.003793351	0.00013769	0.001146267	8.26e-05	0.018634005	0.001685322	0.000123921	0.000685695	0.001028083	0	0.224816971	0.000123921	0	0.002098391	0.002726256	0.042975706	0	0.000106218	0.002437108	0	8.26e-05	0.00095832	0.000429592	0.001569662	0.00083794	0	0.003246723	8.26e-05	0.000702217	0	0.000247841	0.000550759	0.00077657	0.000190012	0.007449012	0.001845042	0.001445742	0	0.010425863	0.006856947	0.00013769	0.004353748	0.000165228	0.000802534	0.002205153	0.00095832	0	0.007658301	0	8.26e-05	0.000185881	0.000440607	0.000468145	0	0.000462637	0.000371762	0.000289148	0.000444049	0.000743524	0.002137632	0	0.012924472	0	0.044471016	0	9.64e-05	0.00053699	0.008627243	0	0.00012851	0.000257021	0	0	0.000644388	0	0.002007516	0.000652649	0.000220304	0.010789364	0.014895271	8.26e-05	0.001941425	0.002083704	0.001230946
9439	0.386209473	0.000655946	0.003430215	0.000252287	0.002262171	0.000220751	0.005924067	8.41e-05	0	8.41e-05	0	8.41e-05	0	0	0.001362349	0.017254313	0	0.000126143	0	0	0	0.000189215	0.000521393	0.000252287	0	0.047959715	0	0.006778105	0	0.00419637	0.052315867	0	0.151910275	0.000214911	0	0.000140159	0.002691059	0	0	0	0.000120137	0	0.000261631	0.007106077	0.000983918	0.000241775	0.000196223	0	0	0	0.001225393	0	0.000168191	8.41e-05	0.011546325	0.001177338	0.000126143	0	0.000147167	0	0.001673502	0.004506122	0	0	0.077325896	0.000238271	0.000252287	0.000177535	0.00612029	0.00056344	0	0.000196223	8.41e-05	0.050662922	0	0	0	0.000346894	8.41e-05	0	0.00035507	0	0	0.020967834	0.000228259	0.000798908	0	9.61e-05	8.41e-05	0	0	8.41e-05	0.009059389	0	8.41e-05	0.002766745	0.000117734	0.00058026	0.002951755	0.000126143	0.023252431	0.002001475	0	0	0.038036436	0.04767379
9440	0.392056165	0.001395629	0.000219917	0	0.000150665	0.000133924	0.000507502	0	0	0	0	0	0	0	0.000298157	0.000220363	0	0.002803946	0	0	0	0.022266629	9.52e-05	6.34e-05	0	0.01136169	0	0.002829321	6.34e-05	6.34e-05	0.001325143	0	0.398604384	0.002150538	0	6.34e-05	0.000190313	0.047930059	0	0	0.00252482	0	0	0.003406604	0.000158594	0.00071896	6.34e-05	0	0	0	0.000592085	0	0	0	0.000469439	6.34e-05	0.000163125	0	0.000190313	0	0.001382942	0.007200178	0	0	0.050191901	9.52e-05	0.000158594	0.002918134	0.000126875	0.013772323	0	0	0	0.000373578	0	0	0.000412345	0.001585942	0	0	0.000592085	0.000105729	0	0.012236426	0.000678783	0.000323532	0	0	8.46e-05	0.000262813	0	0	0.000409461	0.000217501	6.34e-05	0.000374282	0	0.003444667	0.000211459	0	0.000225556	0.003761855	0	0.001154566	0.003780886	0.000710502
9441	0.788575273	0.0007152	0.000420706	0.000252424	0.004333272	0	0.000326047	0	0	0	0	0	0	0.000126212	0.001733309	0.003529724	0	0.000100969	0	0	0	0.005107372	8.41e-05	8.41e-05	0.000262941	0.005586976	9.62e-05	0	0	0.000235595	8.41e-05	0	0.124327054	0	0	8.41e-05	0.017774831	0.000147247	0	0.000196329	0.001304189	0	8.41e-05	0.001729569	0.00038705	0.000495498	0.000112188	0	0	0	0.00042912	0	0	0	0.007496982	0.000158933	0	0	0.000201939	0	0.000454363	0.005693555	0	0	0.011022499	0.000168282	8.41e-05	0.000513261	0.0004768	0.00153137	0	8.41e-05	0	0	0.000521676	0	0	0.002440095	0	0	0	0	0	0.001062283	0	8.41e-05	0	8.41e-05	0.003702213	0	0	0	0.001879154	0	0	0.00024401	0.000126212	0.000471191	0.001060179	0	0.000378635	0.000204343	0	0.000105177	0.000233726	0.000790927
9442	0.671177484	0.000318542	0.000586658	0.000832944	0.013582792	0	0.001317213	0	0	0	0	0.000232449	0	7.75e-05	0.002092044	0.004603292	0.006405272	0.000178211	0	0	0	0.001580656	0.000206622	0.000106539	0.000254587	0.00067152	0	0	0.000132828	0.000213079	0.000103311	0	0.191119877	0	0	7.75e-05	0.007787054	0.004703226	0	0.000135595	0.001092512	0.000418409	0	0.000968539	0.000821321	0.000740394	0.000204274	0	0	0	0.000387416	0	0	0.000284105	0.002037806	0.000116225	0.001119983	0	0.00192933	0	0.004191837	0.00504286	0.000103311	0	0.000402912	0	0.001430458	0.002014561	0.00013947	0.001844098	0	0.000116225	0	0	0.031915299	0	0	0.000581123	0	0	0	0.000406786	9.69e-05	0.006895998	0	0.014768284	0	0	0.001262975	0.001175161	0	7.75e-05	0.005332248	0	0	0.001200988	0.000154966	0.000410661	0.000255694	0	0	0.000224701	0	0.000154966	0.000594037	0.000588872
9443	0.730715369	0.000295781	0.000473033	0.000339279	0.027794749	0	0.014692408	0.000115993	0	0	0	8.7e-05	0	0	0.002470644	0.006968261	0.005966374	0.000202987	0	0	0	0.00031898	0	0.000104393	0.000202987	0.000410117	0	0	0	0.000250109	0.000173989	0	0.112083738	0	0	0	0.004632458	0.002244459	0	0.000173989	0.001348415	0.000287082	8.7e-05	0.001139628	0.000817748	0.000275483	0.000104393	0	0	0	0.000443672	0	0	0.000130492	0.002235759	0	0.000280316	0	0.000452371	0	0.004341026	0.004161238	0.000130492	0.000144991	0	0.003407285	0.000441664	0.004610709	0.000135325	0.002992611	0	8.7e-05	0	0	0.022173936	0	0	0.001750765	0	0	0	0.000202987	0	0.010507005	0	0.012796894	0	0	0.00047847	0.000362477	0	0	0.000922142	0	8.7e-05	0.008542862	8.7e-05	0.000278382	0.000400175	0	0	0.000250109	0	0.000121792	0.001457158	0.000809049
9467	0.219843507	0.008214874	0.000508634	0	0.000493117	0	0	0	0.020430717	0	0	0	0	0	0.000130751	0.012526843	0	0	0	0	0	0	0	0	0	0	0.000796956	0	0	0.000862954	0.000714459	0	0.671658437	0	0.013224491	0	0.00239834	0	0	0	0.000593981	0	0.000112072	0.000605189	0.000252162	0.000473193	0	0	0	0	0.001083362	0	0	0	0.000930197	0	0	0	0	0	0.000683639	0.004660325	0	0.001288827	0	0.001344863	0	0	0.000605189	0.004325977	0	0	0	0.000747146	0	0	0	0.000859218	0	0	0	0	0	0	0	0.000112072	0.005230025	0	0.009514909	0	0	0	0.00084054	0.002814251	0	0.000224144	0	0.001243999	0.00056036	0	0.000806918	0.006556209	0	0	0.000684884	0.001042269
9444	0.354991835	0.005952495	0.001293688	0.000568654	0.007109925	0.000265372	0	0.000122479	0.007667206	0	0	6.12e-05	0	0	0.000477669	0.010828703	0.003735619	0.000122479	0	9.19e-05	0.000979835	0	0.006496507	0	0.000244959	0	0.001292157	0	0.000275578	0.001114562	0.001932452	0	0.417017597	0.026045228	0	9.19e-05	0.004041818	0.010729189	0	9.19e-05	0.001267661	9.95e-05	0.000114824	0.000768898	0.000612397	0.004524931	0.00179126	0.000832859	0	0	0.001041074	0	0.000229649	0.000122479	0.001622851	0	0.000823952	0.000275578	0.001457504	0	0.007391627	0.023311898	0.000102066	0.003208958	0	0.001207296	0.000239391	0.000985959	0.000673636	0.002988495	0	6.12e-05	9.19e-05	0.002272672	0	0	0	0.001194173	0.000195967	0	0	0.000257207	0	0	0	0.004084685	0.013533965	0.000149697	0.015328287	0.00106732	0	0.000105778	0.000278981	0.000160754	0.000313003	0.001714711	0	0.001677967	0.000183719	0.000232711	0.000156501	0.021746204	0	0	0.015230304	0.000624645
9445	0.723287741	0.014335014	0.002650944	0.000106336	0.004422702	0	0.00407327	0.000193842	0	0	0	0	0	0.0002109	0.001612767	0.012542362	0	0	6.2e-05	0	0	0	0.000224857	9.3e-05	0.002933995	0	0	0	0	0.010824145	0.010824145	0	0.000248118	0.000260524	0	6.2e-05	0	9.3e-05	0	0	0.00204077	0	8.27e-05	0.004497138	0.001786449	0.00226063	0.000108552	0.001141343	0	0	0	0	0	0	0.002400541	0.008278117	0	0	0.000139566	0	0.000353568	0.024693374	0	0.00117856	0	0.009604232	0	0.000595483	0.002398473	0.014210955	0.000856007	0.000353568	0	0.00343919	0	0	6.2e-05	0.00333187	0	0	0	0	0	0	0.001953929	0.007247112	0	0	0.086946731	0	0	0	0.000124059	0.006258775	0	0.000108552	0.000263625	0	0.001898102	0	0.004807285	0.015997404	0	0	9.3e-05	0.001426678
9457	0.65812957	0.014528318	0.000494449	0.000133198	0.000155398	0	0.001648163	0.000148335	0	8.48e-05	0	0	0.000389908	0	0.000550957	0.003884248	0.005057505	8.48e-05	8.48e-05	0.000113017	0.000310796	0	0.004577183	0.000233097	0.003068408	0	0	0	0.000155398	0.000449242	0.000890008	0	8.48e-05	0.000550957	0.079083554	8.48e-05	0	0.000169525	0.015757377	0.000169525	0.006306341	0.000779816	8.48e-05	0.000800536	0.000593339	0.010275117	0.00154268	0.00408556	0	0.000226034	0	0	0.003916034	0.000211907	0.000652672	8.48e-05	0.00161049	0	0.000890008	0.007340446	9.69e-05	0.040544802	0	0.004882329	0	0.001985868	0.001662652	0.000873055	0.000169525	0.005094235	0.007120063	8.48e-05	8.48e-05	0.000242179	0	0	0	0.001051057	0.000520685	0	0	0.00031786	0.00056791	0	0.000357887	0.041270935	0.014248602	0.000113017	0.023733542	0.00063572	0	0.00013562	0.000127144	0.001457918	0	0.000957818	0.000406861	0	0.001084962	0.000169525	0.000254288	0.017410249	0.000180121	0	0.001551157	0.000133198
9446	0.70386717	0.009419295	0.001666693	0.000140545	0.004342826	0	0.002698455	0.00025298	0	0	0	0	8.43e-05	0	0.00025298	0.002228334	0.00391736	0.000168653	0.00012649	0	0	0	0.000274062	0.0001807	0.003094791	0	0	0	0	0.001922649	0.000927594	0.000358389	0.000271719	0.009284372	0	8.43e-05	0	0.068396637	0.000271719	8.43e-05	0.004427153	0	0.000147572	0.001480402	0.000548124	0.008020408	8.43e-05	0.002791214	0	0	0	0	0.000234241	0	0.000440373	0	0.00025298	0	0.000809537	0.000480662	0.000221358	0.055816623	0	0.01113956	0	0.000987827	0.000544291	0.00145042	0.000147572	0.005228257	0.007075012	0	0	0.00025298	0.017523093	0	0	0.000562178	0	0	0	8.43e-05	0.000442715	0	0.00034574	0.006482617	0	0	0.003752539	0.000269846	0	0	0.000182708	0.001509448	8.43e-05	0.003668212	0.000224871	0.015537198	0.000531258	0	0	0.029236074	0	0	0.000716777	0.001947947
9447	0.212088793	0.022209213	0.000305155	0.000216999	0.006707316	0.000922248	0.000840873	7.12e-05	0	0	0	0	0	6.1e-05	0.000555383	0.008192961	0.000101718	0.000408908	0	0	0	0.005498901	0.000122062	0	0	0	0.007384762	0	0	0.000860538	0.004487391	0	0.45099532	0.000268537	0	0	0.006310614	0	0	0	0.002105572	0	0.000175464	0.000622517	0.000175464	0.00038653	7.63e-05	0	0	0	0.004455269	0.003326194	0.000488249	0	0	6.1e-05	0	0	0.004565125	0	0.005028962	0.100227129	0	6.1e-05	0.000454343	0.000950341	0	0.003021039	0.000526393	0.006326889	0	0.000350929	0	0.001037528	0	0	0	0.001785159	0	0	0	0	0	0	0.017210766	0.08051221	0.003326194	0	0.00127555	6.1e-05	0.002514481	0	0.001048625	0.000122062	0.000122062	7.12e-05	0.000142406	0.010466831	0.000250227	0	0.000976497	0.009746665	0	0.000244124	0.005718613	0.001373199
9458	0.308494232	0.02211476	0.000145128	0.000163269	8.16e-05	0.006721233	8.16e-05	0.000299326	0	0	0	0	0	0.000930632	0.001608198	0.001591871	0.004147028	0.000217692	0	0	0.000291551	0.009600206	0.00574162	0	0	0	0.002416378	0	0.000108846	0.000122452	0.004362905	0	0.340431796	0.004538873	0	8.16e-05	0.002644955	0.003926615	8.16e-05	0	0.013069668	9.52e-05	8.16e-05	0.00382049	0.00049797	0.003483068	0.001112806	0	0	0	0.001387785	0	0.000767363	0.000272115	0.00099594	0	0.002945641	0	0.01243292	0	0.001371458	0.061314241	0.000114288	0	0.00434295	0.002530667	0.00232972	0.001346968	0.000295925	0.015619383	0	0.000310211	0	0.002712076	0.030972093	0	0	0.007132806	0.001282826	0	0	0.000489806	0.000186593	0	0.014849298	0.00201637	0.00130615	0	8.16e-05	0.000952401	0.000555114	0.000326538	0.000139945	0.000128283	0.000116621	0.009069582	0.000163269	0.011877806	0.000848998	0	0.00204086	0.050678639	0.000253067	0.005722572	0.001649015	0.002963329
9459	0.283736999	0.004070905	8.19e-05	0.002896088	0.000191122	0.000336739	0	8.19e-05	0	0.000245729	0	0.00017552	0.000391346	0	0.002080503	0.000136516	0.014136225	0.001343317	0	0.0002116	0.004996483	0.027726387	0.035521446	8.19e-05	0	0	0.001875729	0	0.00034402	0.000500558	0.012878003	0.000204774	0.071556193	0.001720101	0	0	0.001687337	0.116937068	0	0.000102387	0.001105779	0.000466885	0	0.000999297	0.000163819	0.002166053	0.00617052	0	0	0.000364042	0.00094196	0	0.001790309	0.00068804	0.000136516	0.000311256	0.031505396	0.000327638	0.012663218	0.002793116	8.19e-05	0.161969332	0.000532412	0.000499648	0.014072063	0.001872219	0.045428303	0.009378645	0.00025938	0.019722002	0	8.19e-05	0.00015358	0.000373144	0.032755634	0	0	0.002651822	0.003358292	0.000450503	0	0.003737124	0.002694825	0	0.010287841	8.19e-05	0	0.000196583	0	0.01516497	0.001130352	0.000635774	8.19e-05	0	0	0	0	0.00299789	0.000163819	0.000464154	0.000229347	0.01010764	0.005594423	0.000319447	0.000122864	0.003505729
